iter	Passed	Remaining
0	135	135073
1	136	68345
2	138	46024
3	140	34893
4	141	28231
5	143	23752
6	144	20552
7	146	18155
8	147	16284
9	149	14779
10	151	13578
11	152	12572
12	154	11734
13	155	10981
14	157	10323
15	158	9743
16	159	9227
17	160	8770
18	161	8353
19	162	7977
20	163	7631
21	164	7314
22	165	7025
23	166	6756
24	166	6508
25	167	6278
26	168	6061
27	168	5859
28	169	5671
29	169	5493
30	170	5328
31	170	5172
32	171	5025
33	172	4887
34	172	4755
35	172	4632
36	173	4514
37	173	4404
38	174	4298
39	174	4199
40	175	4104
41	175	4014
42	176	3927
43	176	3845
44	177	3766
45	177	3690
46	178	3618
47	178	3549
48	179	3482
49	180	3420
50	180	3359
51	181	3300
52	181	3243
53	182	3188
54	182	3136
55	183	3085
56	183	3035
57	183	2988
58	184	2942
59	184	2897
60	185	2854
61	185	2813
62	186	2772
63	186	2733
64	187	2696
65	187	2659
66	188	2624
67	189	2592
68	189	2561
69	190	2528
70	190	2497
71	191	2466
72	191	2435
73	192	2406
74	192	2377
75	193	2349
76	193	2322
77	194	2296
78	194	2270
79	195	2245
80	195	2221
81	196	2196
82	196	2170
83	196	2148
84	197	2125
85	197	2103
86	198	2082
87	198	2061
88	199	2041
89	199	2021
90	200	2001
91	200	1982
92	201	1963
93	201	1945
94	202	1927
95	202	1909
96	203	1892
97	203	1875
98	204	1859
99	204	1842
100	205	1826
101	205	1811
102	206	1795
103	206	1780
104	207	1765
105	207	1751
106	208	1737
107	208	1723
108	209	1709
109	209	1696
110	210	1683
111	210	1670
112	211	1657
113	211	1644
114	212	1632
115	212	1620
116	212	1607
117	213	1595
118	213	1584
119	214	1572
120	214	1561
121	215	1549
122	215	1538
123	216	1528
124	216	1518
125	217	1508
126	217	1497
127	218	1487
128	218	1478
129	219	1468
130	219	1458
131	220	1449
132	220	1439
133	221	1430
134	221	1421
135	222	1412
136	222	1404
137	223	1395
138	223	1387
139	224	1378
140	224	1370
141	225	1361
142	225	1353
143	226	1345
144	226	1337
145	227	1329
146	227	1321
147	228	1314
148	228	1306
149	229	1299
150	229	1292
151	230	1285
152	230	1278
153	231	1271
154	232	1264
155	232	1257
156	232	1251
157	233	1244
158	233	1237
159	234	1230
160	234	1223
161	235	1216
162	235	1210
163	236	1204
164	236	1197
165	237	1191
166	237	1185
167	238	1179
168	238	1173
169	239	1167
170	239	1161
171	240	1156
172	240	1151
173	241	1145
174	241	1139
175	242	1134
176	242	1128
177	243	1123
178	243	1117
179	244	1112
180	244	1107
181	245	1103
182	246	1098
183	246	1093
184	247	1088
185	247	1083
186	248	1078
187	248	1073
188	249	1068
189	249	1064
190	250	1059
191	250	1054
192	251	1049
193	251	1044
194	252	1040
195	252	1035
196	252	1031
197	253	1026
198	253	1022
199	254	1017
200	254	1013
201	255	1009
202	255	1004
203	256	1000
204	256	996
205	257	992
206	257	988
207	258	983
208	258	979
209	259	975
210	259	971
211	260	967
212	260	964
213	261	960
214	261	956
215	262	952
216	262	948
217	263	944
218	263	940
219	264	936
220	264	933
221	265	929
222	265	925
223	266	922
224	266	918
225	267	914
226	267	911
227	268	907
228	268	904
229	269	900
230	269	897
231	270	894
232	270	890
233	271	887
234	271	884
235	272	880
236	272	877
237	273	874
238	273	870
239	274	867
240	274	864
241	274	861
242	275	858
243	275	854
244	276	851
245	276	848
246	277	845
247	277	842
248	278	839
249	278	836
250	279	833
251	279	830
252	280	827
253	280	824
254	281	821
255	281	818
256	282	815
257	282	813
258	283	810
259	283	807
260	284	804
261	284	801
262	285	799
263	285	796
264	286	793
265	286	790
266	287	788
267	287	785
268	288	783
269	288	780
270	289	777
271	289	775
272	290	772
273	290	770
274	291	767
275	291	764
276	292	762
277	292	759
278	293	757
279	293	754
280	294	752
281	294	749
282	295	747
283	295	745
284	296	742
285	296	740
286	296	737
287	297	735
288	297	733
289	298	730
290	298	728
291	299	726
292	299	723
293	300	721
294	300	719
295	301	717
296	302	714
297	302	712
298	302	710
299	303	708
300	303	705
301	304	703
302	304	701
303	305	699
304	305	697
305	306	694
306	306	692
307	307	690
308	307	688
309	308	686
310	308	684
311	309	681
312	309	679
313	310	677
314	310	675
315	311	673
316	311	671
317	312	669
318	312	667
319	313	665
320	313	663
321	314	661
322	314	659
323	315	657
324	315	655
325	316	653
326	316	651
327	317	649
328	317	648
329	318	646
330	318	644
331	319	642
332	319	640
333	320	638
334	320	636
335	321	634
336	321	632
337	322	630
338	322	628
339	323	627
340	323	625
341	324	623
342	324	621
343	325	619
344	325	617
345	325	616
346	326	614
347	326	612
348	327	610
349	327	608
350	328	607
351	328	605
352	329	603
353	329	601
354	330	599
355	330	598
356	331	596
357	332	595
358	332	593
359	333	592
360	333	590
361	334	589
362	334	587
363	335	586
364	335	584
365	336	582
366	336	581
367	337	579
368	337	577
369	338	576
370	338	574
371	339	573
372	339	571
373	340	569
374	340	568
375	341	566
376	341	564
377	342	563
378	342	561
379	343	560
380	343	558
381	344	556
382	344	555
383	345	553
384	345	552
385	346	550
386	346	549
387	347	547
388	347	546
389	348	544
390	348	543
391	349	541
392	349	540
393	350	538
394	350	537
395	351	535
396	351	534
397	352	532
398	352	531
399	353	529
400	353	528
401	354	526
402	354	525
403	355	523
404	355	522
405	355	520
406	356	519
407	356	517
408	357	516
409	357	514
410	358	513
411	358	512
412	359	510
413	359	509
414	360	507
415	360	506
416	361	505
417	361	503
418	362	502
419	362	500
