iter	Passed	Remaining
0	150	150779
1	151	75708
2	152	50604
3	152	38041
4	153	30517
5	154	25538
6	154	21969
7	155	19280
8	156	17179
9	156	15497
10	157	14121
11	157	12976
12	158	12006
13	158	11178
14	159	10461
15	159	9833
16	160	9277
17	161	8784
18	161	8342
19	162	7943
20	162	7583
21	163	7256
22	163	6956
23	164	6684
24	164	6431
25	165	6197
26	165	5980
27	166	5781
28	167	5595
29	167	5421
30	168	5269
31	169	5118
32	169	4976
33	170	4841
34	170	4713
35	171	4593
36	172	4479
37	172	4372
38	173	4269
39	173	4172
40	174	4080
41	175	3992
42	175	3909
43	176	3828
44	176	3749
45	177	3675
46	177	3604
47	178	3537
48	178	3472
49	179	3410
50	180	3350
51	180	3292
52	181	3236
53	181	3182
54	182	3130
55	183	3084
56	183	3040
57	184	2996
58	185	2951
59	185	2907
60	186	2863
61	186	2822
62	187	2782
63	187	2743
64	188	2705
65	188	2669
66	189	2633
67	189	2600
68	190	2567
69	190	2534
70	191	2503
71	191	2472
72	192	2443
73	193	2415
74	193	2387
75	194	2361
76	194	2335
77	195	2309
78	195	2284
79	196	2260
80	197	2236
81	198	2218
82	198	2193
83	199	2171
84	199	2149
85	200	2128
86	200	2106
87	201	2085
88	201	2065
89	202	2045
90	202	2025
91	203	2006
92	203	1988
93	204	1971
94	205	1953
95	205	1937
96	206	1920
97	206	1904
98	207	1888
99	208	1873
100	208	1857
101	209	1842
102	209	1827
103	210	1812
104	210	1797
105	211	1783
106	212	1769
107	212	1758
108	213	1745
109	214	1733
110	214	1720
111	215	1707
112	215	1694
113	216	1682
114	216	1669
115	217	1657
116	217	1644
117	218	1632
118	218	1621
119	219	1609
120	219	1598
121	220	1586
122	221	1575
123	221	1565
124	222	1554
125	222	1544
126	223	1533
127	223	1522
128	224	1513
129	224	1503
130	225	1493
131	225	1484
132	226	1474
133	226	1465
134	227	1456
135	228	1453
136	229	1445
137	230	1436
138	230	1427
139	231	1419
140	231	1410
141	231	1401
142	232	1393
143	233	1385
144	233	1377
145	234	1369
146	234	1361
147	235	1354
148	235	1346
149	236	1338
150	236	1331
151	237	1323
152	237	1316
153	238	1309
154	238	1301
155	239	1294
156	239	1287
157	240	1280
158	240	1274
159	241	1267
160	241	1259
161	242	1253
162	242	1247
163	243	1241
164	244	1235
165	244	1229
166	245	1223
167	245	1217
168	246	1211
169	246	1205
170	247	1200
171	248	1194
172	248	1188
173	249	1183
174	249	1177
175	250	1172
176	250	1166
177	251	1161
178	252	1155
179	252	1150
180	253	1144
181	253	1139
182	254	1134
183	254	1129
184	255	1123
185	255	1118
186	256	1113
187	256	1108
188	257	1103
189	257	1099
190	258	1094
191	259	1090
192	259	1085
193	260	1081
194	260	1076
195	261	1071
196	261	1067
197	262	1062
198	262	1058
199	263	1053
200	263	1049
201	264	1045
202	265	1040
203	265	1036
204	266	1031
205	266	1027
206	267	1023
207	267	1019
208	268	1014
209	268	1010
210	269	1006
211	269	1002
212	270	998
213	270	994
214	271	990
215	271	986
216	272	983
217	273	980
218	273	976
219	274	973
220	275	969
221	275	966
222	276	962
223	276	959
224	277	955
225	278	952
226	278	949
227	279	945
228	279	942
229	280	939
230	281	935
231	281	932
232	282	929
233	283	926
234	283	923
235	284	920
236	284	916
237	285	913
238	285	910
239	286	906
240	286	903
241	287	900
242	288	897
243	288	894
244	289	891
245	289	888
246	290	885
247	291	882
248	291	879
249	292	876
250	292	874
251	293	871
252	294	868
253	294	866
254	295	863
255	296	860
256	296	857
257	297	854
258	297	851
259	298	849
260	298	846
261	299	843
262	299	840
263	300	837
264	301	834
265	301	832
266	302	830
267	303	828
268	303	825
269	304	823
270	304	820
271	305	817
272	306	815
273	306	813
274	307	810
275	307	807
276	308	805
277	309	803
278	309	800
279	310	798
280	311	796
281	311	793
282	312	791
283	312	788
284	313	786
285	313	783
286	314	781
287	315	779
288	315	776
289	316	774
290	316	771
291	317	769
292	318	767
293	318	765
294	319	763
295	320	761
296	320	759
297	321	757
298	322	755
299	322	752
300	323	750
301	323	748
302	324	745
303	324	743
304	325	741
305	325	739
306	326	736
307	326	734
308	327	732
309	327	729
310	328	727
311	329	725
312	329	723
313	330	721
314	330	719
315	331	717
316	331	715
317	332	713
318	333	711
319	333	709
320	334	707
